S&P Comp.,Dividend,Earnings,CPI,Long Interest Rate GS10,Real Price,Real Dividend,Real Total Return Price,Real Earnings,Real TR Scaled Earnings,CAPE,TR CAPE,Monthly Total Bond Returns,Real Total Bond Returns
5.57,0.24,0.37,7.52,3.73,232.87,9.96,768.74,15.36,50.72,18.46,22.86,1.0,4.61
5.51,0.24,0.37,7.61,3.74,227.49,9.91,753.68,15.28,50.61,18.01,22.28,1.0,4.57
5.61,0.24,0.36,7.9,3.75,223.24,9.58,742.26,14.36,47.74,17.66,21.82,1.0,4.41
5.51,0.24,0.35,7.99,3.75,216.65,9.5,722.99,13.83,46.15,17.13,21.15,1.0,4.37
5.31,0.24,0.34,7.8,3.74,213.88,9.77,716.46,13.8,46.21,16.9,20.86,1.0,4.49
5.31,0.24,0.33,7.71,3.74,216.52,9.92,728.07,13.59,45.7,17.1,21.1,1.0,4.57
4.84,0.24,0.32,7.61,3.73,199.82,10.08,674.75,13.38,45.2,15.78,19.47,1.0,4.64
4.61,0.25,0.32,7.42,3.73,195.21,10.37,662.08,13.34,45.24,15.42,19.03,1.0,4.77
4.18,0.25,0.31,7.23,3.73,181.66,10.68,619.14,13.29,45.3,14.35,17.73,1.0,4.92
4.08,0.25,0.3,6.95,3.72,184.6,11.16,632.34,13.42,45.98,14.59,18.03,1.0,5.14
4.37,0.25,0.29,7.23,3.72,189.92,10.76,653.62,12.49,43.0,15.01,18.57,1.0,4.95
4.37,0.25,0.29,7.23,3.72,189.92,10.76,653.62,12.49,43.0,15.01,18.57,1.0,4.95
4.57,0.25,0.27,7.14,3.71,201.26,10.97,698.99,11.86,41.17,15.94,19.74,1.0,5.05
4.41,0.25,0.26,7.04,3.7,196.83,11.16,686.86,11.6,40.5,15.61,19.34,1.0,5.14
4.32,0.25,0.25,6.85,3.7,198.17,11.32,694.83,11.55,40.48,15.74,19.52,1.0,5.3
4.38,0.24,0.24,6.76,3.68,203.75,11.32,717.71,11.32,39.87,16.2,20.11,1.0,5.4
4.51,0.24,0.24,6.57,3.66,215.88,11.49,763.8,11.25,39.8,17.19,21.34,1.0,5.58
4.57,0.24,0.23,6.57,3.64,218.76,11.33,777.3,10.85,38.56,17.43,21.66,1.0,5.61
4.40,0.23,0.22,6.57,3.62,210.62,11.17,751.7,10.45,37.29,16.81,20.9,1.0,5.63
4.34,0.23,0.21,6.57,3.6,207.75,11.01,744.72,10.05,36.03,16.61,20.66,1.0,5.66
4.25,0.23,0.2,6.57,3.58,203.44,10.85,732.52,9.65,34.76,16.29,20.29,1.0,5.69
4.41,0.22,0.19,6.76,3.56,205.15,10.39,741.8,8.99,32.51,16.46,20.51,1.0,5.55
4.48,0.22,0.19,6.85,3.54,205.51,10.09,746.15,8.49,30.81,16.52,20.61,1.0,5.5
4.48,0.22,0.19,6.85,3.54,205.51,10.09,746.15,8.49,30.81,16.52,20.61,1.0,5.5
4.34,0.21,0.17,6.66,3.5,204.78,10.06,749.64,7.94,29.07,16.54,20.67,1.0,5.71
4.30,0.21,0.16,6.57,3.48,205.83,10.05,756.56,7.66,28.15,16.67,20.86,1.0,5.82
4.25,0.21,0.17,6.57,3.46,203.44,9.97,750.81,8.02,29.59,16.52,20.69,1.0,5.85
4.19,0.21,0.18,6.57,3.47,200.57,9.89,743.26,8.38,31.04,16.33,20.47,1.0,5.86
4.19,0.21,0.18,6.57,3.48,200.57,9.81,746.29,8.74,32.51,16.36,20.53,1.0,5.87
4.37,0.2,0.19,6.85,3.5,200.47,9.33,748.81,8.72,32.56,16.39,20.58,1.0,5.63
4.61,0.2,0.2,6.95,3.51,208.58,9.13,781.95,8.94,33.5,17.08,21.46,1.0,5.57
4.70,0.2,0.21,7.04,3.52,209.78,8.93,789.24,9.15,34.42,17.21,21.63,1.0,5.5
4.72,0.2,0.21,6.95,3.53,213.56,8.97,806.26,9.61,36.3,17.55,22.06,1.0,5.59
4.79,0.2,0.22,6.85,3.54,219.73,9.02,832.42,10.09,38.23,18.07,22.73,1.0,5.68
4.82,0.2,0.23,6.85,3.55,221.11,8.95,840.46,10.44,39.67,18.2,22.89,1.0,5.69
